"团队简称","所属公司全称","团队类型","状态","团队所在省","团队所在市","项目来源","具体推荐单位","推荐人","推荐时间","活跃状况","对接人","相关附件","关注行业","关注阶段","基金规模（亿）","已募集金额（亿）","向我方募集金额（亿）","其他意向方","机构实力（评分）","评分介绍","团队简介","募资需求","差异化投资策略","综合评价","是否需要提交撰写反馈材料","是否园丰推荐给招商载体","招商载体/局办名称","我方材料撰写人","反馈日期","反馈材料文件上传","是否提交撰写反馈材料","招商载体","我方推荐人","推荐日期","录入人","录入时间"
"星河团队","晟宏投资公司","市场调研团队","暂停","山西","太原","内部研讨","投资俱乐部","赵十三","2026/05/20","不活跃","孙十四","无","旅游","中期","8","2","1","无","7","市场调研能力较强","积极主动的市场调研团队","3","挖掘旅游市场潜力","优秀","是","是","旅游产业园区","周十五","2026/06/25","无","否","旅游园","吴十六","2026/07/30","郑十七","2026/08/15"
"晨曦团队","永华投资有限公司","数据分析团队","活跃","辽宁","沈阳","宏观研究","金融协会","孙十四","2026/09/10","活跃","周十五","有","金融","后期","12","5","3","有","9","数据分析精准深入","专业高效的数据分析团队","6","重视金融科技投资","出色","否","否","金融产业园区","吴十六","2026/10/15","有","是","金融园","郑十七","2026/11/20","王十八","2026/12/25"
"飞翔团队","明盛资本管理公司","行业研究团队","正常","吉林","长春","微观分析","企业联合会","周十五","2027/01/10","活跃","吴十六","无","影视","早期","10","4","2","无","8","行业研究成果显著","富有洞察力的行业研究团队","5","关注影视产业发展","良好","是","否","影视产业园区","郑十七","2027/02/15","无","否","影视园","王十八","2027/03/20","李十九","2027/04/25"
"巨浪团队","辉宏投资集团","项目评估团队","暂停","黑龙江","哈尔滨","客户反馈","行业商会","吴十六","2027/05/20","不活跃","郑十七","有","体育","中期","9","3","1","有","7","项目评估专业客观","严谨认真的项目评估团队","4","注重体育产业投资","优秀","是","是","体育产业园区","王十八","2027/06/25","有","是","体育园","李十九","2027/07/30","赵二十","2027/08/15"
"长风团队","宏瑞资产管理公司","资源整合团队","活跃","安徽","合肥","产业链分析","投资联盟","郑十七","2027/09/10","活跃","王十八","无","传媒","后期","11","5","3","无","9","资源整合能力出色","高效的资源整合团队","6","关注传媒行业创新","出色","否","否","传媒产业园区","李十九","2027/10/15","无","否","传媒园","赵二十","2027/11/20","孙二一","2027/12/25"
"暖阳团队","金辉投资有限公司","战略规划团队","正常","江西","南昌","竞品对比","咨询联盟","王十八","2028/01/10","活跃","李十九","有","游戏","早期","8","3","2","无","8","战略规划科学合理","具有前瞻性的战略规划团队","4","侧重游戏领域拓展","良好","是","否","游戏产业园区","赵二十","2028/02/15","有","是","游戏园","孙二一","2028/03/20","周二二","2028/04/25"
"彩云团队","瑞昌投资公司","品牌推广团队","暂停","陕西","西安","朋友介绍","行业协会","李十九","2028/05/20","不活跃","赵二十","无","餐饮","中期","7","2","1","无","7","品牌推广经验丰富","积极活跃的品牌推广团队","3","挖掘餐饮品牌潜力","优秀","是","是","餐饮产业园区","孙二一","2028/06/25","无","否","餐饮园","周二二","2028/07/30","张三三","2028/08/15"
"繁星团队","丰瑞资本管理公司","公关团队","活跃","甘肃","兰州","大数据分析","商会联盟","赵二十","2028/09/10","活跃","孙二一","有","服装","后期","10","4","2","无","9","公关能力突出","专业的公关团队","5","关注服装行业趋势","出色","否","否","服装产业园区","周二二","2028/10/15","有","是","服装园","张三三","2028/11/20","李四四","2028/12/25"
"辉煌团队","永新投资集团","渠道拓展团队","正常","青海","西宁","行业报告","投资联合会","孙二一","2029/01/10","活跃","周二二","无","珠宝","早期","9","3","2","无","8","渠道拓展成效显著","富有活力的渠道拓展团队","4","注重珠宝产业投资","良好","是","否","珠宝产业园区","张三三","2029/02/15","有","是","珠宝园","李四四","2029/03/20","王五五","2029/04/25"
"荣耀团队","明新投资公司","市场营销团队","暂停","新疆","乌鲁木齐","专家预测","金融联盟","周二二","2029/05/20","不活跃","张三三","有","汽车","中期","8","2","1","无","7","市场营销能力较强","创新的市场营销团队","3","挖掘汽车市场机会","优秀","是","是","汽车产业园区","李四四","2029/06/25","有","是","汽车园","王五五","2029/07/30","李六六","2029/08/15"
"梦想团队","辉新资本管理公司","业务拓展团队","活跃","西藏","拉萨","市场调研","企业协会","张三三","2029/09/10","活跃","李四四","无","房产","后期","11","5","3","无","9","业务拓展能力卓越","积极进取的业务拓展团队","6","关注房产行业动态","出色","否","否","房产产业园区","王五五","2029/10/15","有","是","房产园","李六六","2029/11/20","赵七七","2029/12/25"
"希望团队","宏新投资有限公司","客户服务团队","正常","云南","昆明","内部研讨","行业组织","李四四","2030/01/10","活跃","王五五","有","教育","早期","10","4","2","无","8","客户服务优质高效","贴心的客户服务团队","5","重视教育行业需求","良好","是","否","教育产业园区","李六六","2030/02/15","有","是","教育园","赵七七","2030/03/20","孙八八","2030/04/25"
"辉煌团队","金新投资集团","技术支持团队","暂停","贵州","贵阳","宏观研究","金融组织","王五五","2030/05/20","不活跃","李六六","无","互联网","中期","9","3","1","无","7","技术支持专业可靠","专业的技术支持团队","4","关注互联网行业创新","优秀","是","是","互联网产业园区","赵七七","2030/06/25","有","是","互联网园","孙八八","2030/07/30","周九九","2030/08/15"
"荣耀团队","瑞新资本管理公司","产品研发团队","活跃","广西","南宁","微观分析","投资组织","李六六","2030/09/10","活跃","赵七七","有","军工","后期","12","5","3","无","9","产品研发能力强大","创新的产品研发团队","6","关注军工产业发展","出色","否","否","军工产业园区","孙八八","2030/10/15","有","是","军工园","周九九","2030/11/20","吴十十","2030/12/25"
